#This file was produced by Open Exoplanet Catalogue https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue/blob/master/

# COLUMN system_name: Name of the planetary system.  
# COLUMN star_name: Host star's name.  
# COLUMN star_mass: Star's mass in Solar masses (M☉).  
# COLUMN star_radius: Star's radius in Solar radii (R☉).  
# COLUMN star_temperature: Star's temperature in Kelvin (K).  
# COLUMN star_metallicity: Star's metallicity [Fe/H] in dex.  
# COLUMN star_spectral_type: Star's spectral classification.  
# COLUMN planet_name: Exoplanet's name.  
# COLUMN planet_mass: Exoplanet's mass in M♃ or M⊕.  
# COLUMN planet_radius: Exoplanet's radius in R♃ or R⊕.  
# COLUMN planet_temperature: Exoplanet's temperature in Kelvin (K).  
# COLUMN planet_period: Orbital period in days.  
# COLUMN planet_semimajoraxis: Semi-major axis in AU.  
# COLUMN planet_eccentricity: Orbital eccentricity.  
# COLUMN planet_inclination: Orbital inclination in degrees.  
# COLUMN discovery_method: Method used to detect the exoplanet.  
# COLUMN is_transiting: 1 if transiting, 0 if not.  
# COLUMN discovery_year: Year of discovery.  

system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,star_spectral_type,planet_name,planet_mass,planet_radius,planet_temperature,planet_period,planet_semimajoraxis,planet_eccentricity,planet_inclination,discovery_method,is_transiting,discovery_year
HIP 5158,HIP 5158,0.78,,4962.0,0.1,K5V,HIP 5158 c,15.04,,,9018,7.7,0.14,,RV,0,2010
HIP 54373,HIP 54373,0.57,,4021.00,,K5V,HIP 54373 b,0.02712,,,7.76000000,0.063000,0.200000,,RV,0,2019
HIP 54373,HIP 54373,0.57,,4021.00,,K5V,HIP 54373 c,0.03914,,,15.14400000,0.099000,0.200000,,RV,0,2019
HIP 54597,HIP 54597,0.80,0.66,4799.00,-0.220,K5V,HIP 54597 b,2.40000,1.180,,3274.00000000,4.000000,0.030000,116.000,RV,0,2023
HIP 55507,HIP 55507,0.65,0.72,4171.00,,M0,HIP 55507 b,8.25957,1.120,,5138.43726957,5.055931,0.361610,135.022,RV,0,2022
HIP 56640,HIP 56640,1.04,4.93,4769.0,-0.03,K1III,HIP 56640 b,3.67,,,2574.9,3.73,0.12,,RV,0,2020
HIP 57274,HIP 57274,0.73,0.68,4640.0,0.09,K5V,HIP 57274 b,0.036,,636.3,8.1352,0.07,0.187,,RV,0,2011
HIP 57274,HIP 57274,0.73,0.68,4640.0,0.09,K5V,HIP 57274 c,0.41,,399.8,32.03,0.178,0.05,,RV,0,2011
HIP 57274,HIP 57274,0.73,0.68,4640.0,0.09,K5V,HIP 57274 d,0.527,,167.1,431.7,1.01,0.27,,RV,0,2011
HIP 5763,HIP 5763,0.73,,,,K6V,HIP 5763 b,0.51,,,30.014,0.17,0.054,,RV,0,2021
HIP 63242,HIP 63242,1.54,,4839,-0.31,G8III,HIP 63242 b,9.18,,,124.6,0.565,0.23,,RV,0,2013
HIP 63734,HIP 63734,1.21,,,,F7/8V,HIP 63734 b,11.0,,,,30.02,,,imaging,0,2022
HIP 65 A,HIP 65 A,0.78,0.72,4590.00,0.180,K4V,HIP 65 A b,3.21300,2.030,1411,0.98097340,0.017820,0.000000,77.180,transit,1,2020
HIP 65407,HIP 65407,0.93,,5460,0.25,K0,HIP 65407 b,0.428,,,28.125,0.177,0.14,,RV,0,2016
HIP 65407,HIP 65407,0.93,,5460,0.25,K0,HIP 65407 c,0.784,,,67.30,0.316,0.12,,RV,0,2016
HIP 65426,HIP 65426,1.96,1.77,8840.0,,A2V,HIP 65426 b,9.0,1.5,,,92.0,,,imaging,1,2017
HIP 65891,HIP 65891,2.5,8.93,5000,0.16,K0III,HIP 65891 b,6.00,,,1084.5,2.81,0.13,,RV,0,2015
HIP 67522,HIP 67522,1.22,1.38,5675.00,0.000,G1V,HIP 67522 b,,0.898,1174,6.95950300,,0.059000,89.340,transit,1,2020
HIP 67537,HIP 67537,2.41,8.69,4985.0,0.15,K1III,HIP 67537 b,11.1,,,2592.5,4.96,0.59,,RV,0,2016
HIP 67851,HIP 67851,1.30,5.87,4805,-0.03,K0III,HIP 67851 b,1.38,,,88.9,0.46,0.05,,RV,0,2014
HIP 67851,HIP 67851,1.30,5.87,4805,-0.03,K0III,HIP 67851 c,5.98,,,2131.8,3.82,0.17,,RV,0,2014
HIP 68468,HIP 68468,1.05,,5857.0,0.065,G3V,HIP 68468 b,0.011,,,1.8372,0.029743,0.41,,RV,0,2016
HIP 68468,HIP 68468,1.05,,5857.0,0.065,G3V,HIP 68468 c,0.094,,,194.0,0.665,0.04,,RV,0,2016
HIP 71135,HIP 71135,0.66,,4146.00,,M1,HIP 71135 b,0.05915,,,87.19000000,0.335000,0.210000,,RV,0,2019
HIP 74890,HIP 74890,1.74,5.77,4850.0,0.2,K1III,HIP 74890 b,2.4,,,822.3,2.1,0.07,,RV,0,2016
HIP 75092,HIP 75092,1.28,4.53,4891,-0.01,K0III,HIP 75092 b,1.79,,,926.4,2.02,0.42,,RV,0,2021
HIP 75458,iota Draconis,1.4,12.8,4445.0,0.15,K2 III,iota Draconis b,8.82,,598.2,510.702,1.275,0.713,69.9,RV,0,2002
HIP 77257,HIP 77257,,,,,G0,HIP 77257 b,0.0428,,,15.5083,0.1238,0.16,,RV,0,2021
HIP 78530,HIP 78530,2.5,,10500,,B9V,HIP 78530 b,24,,2700,,,,,imaging,0,2011
HIP 79431,HIP 79431,0.49,,3191.0,0.4,M3V,HIP 79431 b,2.1,,146.8,111.7,0.36,0.29,,RV,0,2010
HIP 81208 C,HIP 81208 C,0.14,,,,M,HIP 81208 C b,14.80000,1.090,2.05000000000e+03,104100.00000000,23.040000,,,imaging,0,2023
HIP 8541,HIP 8541,1.17,7.83,4670.0,-0.15,K2III,HIP 8541 b,5.59,,,1560.0,2.8,0.16,,RV,0,2016
HIP 86221,HIP 86221,0.79,,,,K5,HIP 86221 b,0.71,,,2.224,0.031,0.086,,RV,0,2021
HIP 89474,HIP 89474,,,,,G1V,HIP 89474 b,0.0299,,,15.1479,0.1192,0.121,,RV,0,2021
HIP 90988,HIP 90988,1.3,3.94,4884.0,0.17,K1III,HIP 90988 b,1.96,,,453.9,1.26,0.08,,RV,0,2020
HIP 91258,HIP 91258,0.95,1,5519,0.23,G5V,HIP 91258 b,1.068,,,5.0505,0.057,0.024,,RV,0,2013
HIP 94235,HIP 94235,,,,,,HIP 94235 b,,0.27,1060.0,7.713057,0.0787,0.32,87.14,transit,1,2022
HIP 948,HIP 948,0.71,0.69,4497.00,,,HIP 948 b,20.60000,1.080,,24955.45756000,15.037000,0.230000,110.998,RV,0,2022
HIP 9618,HIP 9618,1.02,0.97,5609.00,,,HIP 9618 b,0.03146,0.348,6.63400000000e+02,20.77290700,0.143800,0.220000,,transit,1,2023
HIP 9618,HIP 9618,1.02,0.97,5609.00,,,HIP 9618 c,0.05758,0.298,4.86900000000e+02,52.56349100,0.266900,0.230000,,transit,1,2023
HIP 97166,HIP 97166,0.898,0.836,5198.0,0.27,,HIP 97166 b,0.063,0.2444,757.0,10.28891,0.089,0.16,,transit,1,2021
HIP 97166,HIP 97166,0.898,0.836,5198.0,0.27,,HIP 97166 c,9.9,,642.0,16.84,0.124,,,RV,0,2021
HIP 97233,HIP 97233,1.93,5.34,5020,0.29,K0,HIP 97233 b,20.0,,,1058.8,2.55,0.61,,RV,0,2014
HN Lib,HN Lib,0.29,0.30,3347.00,-0.180,M4.0V,HN Lib b,0.01718,0.196,2.34400000000e+02,36.11600000,0.141700,0.079000,,RV,1,2023
HN Peg,HN Peg,1,,5940.0,,G0V,HN Peg b,22,1.05,1130,,,,,imaging,0,2007
HR 5183,HR 5183,1.07,1.53,5794.00,0.100,G0V,HR 5183 b,3.23000,,171,27000.00000000,18.000000,0.840000,,RV,0,2019
HR 810,HR 810,1.11,1.85,5997.0,0.25,G0V pecul.,HR 810 b,2.26,,373.3,320.1,0.925,0.161,,RV,0,1999
HR 858,HR 858,1.15,1.31,6201.00,-0.140,F6V,HR 858 b,,0.186,1572,3.58599000,0.048000,0.300000,85.500,transit,1,2019
HR 858,HR 858,1.15,1.31,6201.00,-0.140,F6V,HR 858 c,,0.173,1326,5.97293000,0.067400,0.190000,86.230,transit,1,2019
HR 858,HR 858,1.15,1.31,6201.00,-0.140,F6V,HR 858 d,,0.193,1075,11.23000000,0.102700,0.280000,87.430,transit,1,2019
HR 8799,HR 8799,1.516,1.44,7193,-0.47,kA5hF0mA5 V,HR 8799 b,5,0.7,1100,166510,67.96,0,30.27,imaging,0,2008
HR 8799,HR 8799,1.516,1.44,7193,-0.47,kA5hF0mA5 V,HR 8799 c,7,1.0,1200,83255,42.81,0,29.43,imaging,0,2008
HR 8799,HR 8799,1.516,1.44,7193,-0.47,kA5hF0mA5 V,HR 8799 d,7,1.1,1200,41628,26.97,0,38.63,imaging,0,2008
HR 8799,HR 8799,1.516,1.44,7193,-0.47,kA5hF0mA5 V,HR 8799 e,7,1.0,1200,20816,16.99,0,30.95,imaging,0,2010
IC 4651 9122,IC 4651 9122,2.10,,,0.120,,IC 4651 9122 b,6.30000,,,734.00000000,2.038000,0.180000,,RV,0,2018
ITG 15B,ITG 15B,,,,,,ITG 15B,9.0,,,,,,,imaging,0,1999
K2-105,K2-105,1.01,0.95,5434.0,0.26,,K2-105 b,0.094,0.32,,8.266902,,,88.95,transit,1,2017
K2-108,K2-108,1.121,1.75,5474.0,0.33,,K2-108 b,0.187,0.471,,4.73401,0.0573,0.18,,transit,1,2016
K2-110,K2-110,0.724,0.692,,-0.3,,K2-110 b,,0.2248,,13.86391,,,89.36,transit,1,2018
K2-111,K2-111,0.84,1.25,5775.00,-0.460,G2,K2-111 b,0.01664,0.162,,5.35180000,0.057000,0.130000,86.430,transit,1,2017
K2-111,K2-111,0.84,1.25,5775.00,-0.460,G2,K2-111 c,0.03555,,,15.67850000,0.116600,0.070000,,RV,0,2020
K2-114,K2-114,0.89,0.84,5044.00,0.390,,K2-114 b,,0.952,661,11.39101300,0.095400,,,transit,1,2017
K2-115,K2-115,0.95,0.88,5657.00,-0.100,G4,K2-115 b,,1.076,619,20.27261500,0.143000,,,transit,1,2017
K2-116,K2-116,0.69,0.67,4348.35,,,K2-116 b,,0.062,,4.65541100,0.048000,0.060000,89.090,transit,1,2017
K2-117,K2-117,0.54,0.51,3778.00,-0.050,M1.0V,K2-117 c,,0.184,537,5.44401700,0.049200,,,transit,1,2017
K2-117,K2-117,0.54,0.51,3778.00,-0.050,M1.0V,K2-117 b,,0.181,868,1.29160000,0.018900,,,transit,1,2017
K2-118,K2-118,0.76,0.73,4726.29,,,K2-118 b,,0.227,,50.92092000,0.245000,0.200000,89.500,transit,1,2017
K2-119,K2-119,0.76,0.71,4740.00,-0.050,,K2-119 b,,0.226,666,7.72728300,0.069800,,,transit,1,2017
K2-120,K2-120,0.69,0.67,4349.90,,,K2-120 b,,0.179,,9.56274200,0.078000,0.140000,89.570,transit,1,2017
K2-121,K2-121,0.727,0.686,,-0.14,,K2-121 b,,0.6816,,5.185759,,,89.03,transit,1,2018
K2-122,K2-122,0.62,0.60,4027.00,0.060,M0,K2-122 b,,0.108,814,2.21928200,0.028500,,,transit,1,2017
K2-123,K2-123,0.62,0.59,4035.00,0.030,,K2-123 b,,0.246,338,30.95152400,0.164900,,,transit,1,2017
K2-124,K2-124,0.39,0.39,3570.00,0.023,,K2-124 b,,0.259,442,6.41365100,0.049000,,89.030,transit,1,2017
K2-125,K2-125,0.49,0.40,3654.47,,,K2-125 b,,0.194,,21.75026400,0.121000,0.080000,89.720,transit,1,2017
K2-126,K2-126,0.610,0.589,,-0.44,,K2-126 b,,0.1606,,7.38707,,,88.7,transit,1,2018
K2-127,K2-127,0.72,0.66,4575.00,-0.110,,K2-127 b,,0.747,809,3.58816300,0.041100,,,transit,1,2017
K2-128,K2-128,0.687,0.651,,-0.26,,K2-128 b,,0.1071,,5.67581,,,88.7,transit,1,2018
K2-129,K2-129,0.36,0.36,3459.09,,,K2-129 b,,0.093,,8.23949300,0.057000,0.130000,89.210,transit,1,2017
K2-130,K2-130,0.675,0.644,,-0.24,,K2-130 b,,0.0946,,2.49416,,,87.6,transit,1,2018
K2-131,K2-131,0.803,0.765,,-0.15,,K2-131 b,,0.1570,,0.3693110,,,77.0,transit,1,2018
K2-133,K2-133,0.46,0.46,3655.00,,M1.5V,K2-133 e,,0.154,296,26.58410000,0.134600,,89.164,transit,1,2019
K2-133,K2-133,0.46,0.46,3655.00,,M1.5V,K2-133 b,,0.120,,3.07133000,0.031940,,87.600,transit,1,2017
K2-133,K2-133,0.46,0.46,3655.00,,M1.5V,K2-133 c,,0.143,,4.86784000,0.043410,,88.210,transit,1,2017
K2-133,K2-133,0.46,0.46,3655.00,,M1.5V,K2-133 d,,0.179,,11.02454000,0.074870,,89.400,transit,1,2017
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 g,,0.284,445,41.96645000,0.228700,,89.290,transit,1,2021
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 b,,0.133,1157,2.35321000,0.033800,,87.720,transit,1,2017
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 c,,0.202,1012,3.56015000,0.044200,,88.590,transit,1,2017
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 d,,0.219,888,5.40484000,0.057500,,89.110,transit,1,2017
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 e,,0.277,757,8.26147000,0.079200,,88.920,transit,1,2017
K2-138,K2-138,0.92,0.84,5283.00,0.134,G8V,K2-138 f,,0.244,653,12.75758000,0.106400,,88.990,transit,1,2017
K2-141,K2-141,0.71,0.68,4599.00,-0.060,K7V,K2-141 b,0.01598,0.135,,0.28032440,,0.000000,86.300,transit,1,2018
K2-141,K2-141,0.71,0.68,4599.00,-0.060,K7V,K2-141 c,0.02328,0.624,,7.74850000,,0.000000,87.200,transit,1,2018
K2-146,K2-146,0.33,0.33,3385.00,,M3.0V,K2-146 c,0.02358,0.195,,4.00498000,,0.075000,87.540,transit,1,2019
K2-146,K2-146,0.33,0.33,3385.00,,M3.0V,K2-146 b,0.01816,0.183,,2.64460000,,0.129000,88.930,transit,1,2018
K2-147,K2-147,0.58,0.55,3672.00,0.190,,K2-147 b,,0.123,,0.96191700,0.015900,,,transit,1,2018
K2-148,K2-148,0.65,0.63,4079.00,-0.110,,K2-148 b,,0.119,,4.38395000,0.045400,,,transit,1,2018
K2-148,K2-148,0.65,0.63,4079.00,-0.110,,K2-148 c,,0.154,,6.92260000,0.061600,,,transit,1,2018
K2-148,K2-148,0.65,0.63,4079.00,-0.110,,K2-148 d,,0.146,,9.75790000,0.077400,,,transit,1,2018
K2-149,K2-149,0.59,0.57,3745.00,0.110,M1.0V,K2-149 b,,0.146,,11.33200000,0.083000,,,transit,1,2018
K2-150,K2-150,0.46,0.44,3499.00,0.090,M2.5V,K2-150 b,,0.178,,10.59357000,0.072700,,,transit,1,2018
K2-151,K2-151,0.47,0.45,3695.00,-0.190,M1.5V,K2-151 b,,0.133,566,3.83547600,0.037300,,,transit,1,2018
K2-152,K2-152,0.63,0.61,4044.00,0.120,M0.0V,K2-152 b,,0.204,337,32.64790000,0.171600,,,transit,1,2018
K2-153,K2-153,0.55,0.53,3845.00,-0.090,M3.0V,K2-153 b,,0.178,497,7.51574000,0.061400,,,transit,1,2018
K2-154,K2-154,0.65,0.63,4097.00,0.210,M0.0V,K2-154 b,,0.178,715,3.67626000,0.040500,,,transit,1,2018
K2-154,K2-154,0.65,0.63,4097.00,0.210,M0.0V,K2-154 c,,0.185,552,7.95486000,0.067700,,,transit,1,2018
K2-155,K2-155,0.65,0.58,4258.00,-0.300,K7,K2-155 b,,0.161,708,6.34200000,0.056200,,88.300,transit,1,2018
K2-155,K2-155,0.65,0.58,4258.00,-0.300,K7,K2-155 c,,0.232,583,13.85000000,0.094600,,88.960,transit,1,2018
K2-155,K2-155,0.65,0.58,4258.00,-0.300,K7,K2-155 d,,0.170,381,40.71800000,0.193700,,89.610,transit,1,2018
K2-156,K2-156,0.642,0.616,,-0.33,,K2-156 b,,0.1017,,0.813149,,,84.0,transit,1,2018
K2-157,K2-157,0.940,0.876,,0.13,,K2-157 b,,0.0946,,0.365257,,,77.0,transit,1,2018
K2-158,K2-158,0.92,0.95,5503.00,0.070,,K2-158 c,,0.114,948,5.90279000,0.062200,,,transit,1,2018
K2-158,K2-158,0.92,0.95,5503.00,0.070,,K2-158 b,,0.236,794,10.06049000,0.088700,,,transit,1,2018
K2-159,K2-159,0.886,0.830,,-0.1,,K2-159 b,,0.1972,,12.4211,,,89.1,transit,1,2018
K2-16,K2-16,0.67,,,,K3V,K2-16 b,,0.180,658,7.61880000,0.066700,,87.970,transit,1,2015
K2-16,K2-16,0.67,,,,K3V,K2-16 c,,0.227,485,19.07863000,0.122900,,87.830,transit,1,2015
K2-16,K2-16,0.67,,,,K3V,K2-16 d,,0.092,,2.71578000,,,,transit,1,2019
K2-160,K2-160,0.983,0.914,,0.07,,K2-160 b,,0.2837,,3.705871,,,88.3,transit,1,2018
K2-161,K2-161,0.987,2.57,,-0.03,,K2-161 b,,0.544,,9.2832,,,87.3,transit,1,2018
K2-162,K2-162,0.777,0.726,,-0.09,,K2-162 b,,0.1329,,9.4577,,,88.8,transit,1,2018
K2-163,K2-163,0.826,0.762,,0.14,,K2-163 b,,0.2204,,6.67312,,,88.3,transit,1,2018
K2-164,K2-164,1.181,2.20,,-0.23,,K2-164 b,,0.2899,,17.3551,,,87.9,transit,1,2018
K2-165,K2-165,0.835,0.804,,-0.05,,K2-165 b,,0.1133,,2.35499,,,87.1,transit,1,2018
K2-165,K2-165,0.835,0.804,,-0.05,,K2-165 c,,0.1383,,4.38274,,,87.1,transit,1,2018
K2-165,K2-165,0.835,0.804,,-0.05,,K2-165 d,,0.2364,,14.1014,,,89.0,transit,1,2018
K2-166,K2-166,1.07,,,,,K2-166 c,,0.109,,3.80464000,,,,transit,1,2019
K2-166,K2-166,1.07,,,,,K2-166 b,,0.195,1140,8.52695000,0.085800,,,transit,1,2018
K2-167,K2-167,1.02,1.83,,-0.45,,K2-167 b,,0.2516,,9.9775,,,88.6,transit,1,2018
K2-168,K2-168,0.88,0.83,5502.70,,,K2-168 c,,0.117,961,8.05072200,,,89.810,transit,1,2019
K2-168,K2-168,0.88,0.83,5502.70,,,K2-168 b,,0.166,766,15.85230000,,,89.400,transit,1,2018
K2-169,K2-169,0.986,0.919,,0.26,,K2-169 b,,0.1133,,6.38080,,,87.8,transit,1,2018
K2-170,K2-170,0.964,0.98,,-0.11,,K2-170 c,,0.1606,,12.4000,,,88.7,transit,1,2018
K2-170,K2-170,0.964,0.98,,-0.11,,K2-170 b,,0.1267,,7.5765,,,88.0,transit,1,2018
K2-171,K2-171,0.892,1.72,,-0.09,,K2-171 b,,0.2400,,5.6285,,,85.0,transit,1,2018
K2-172,K2-172,0.934,0.869,,-0.06,,K2-172 c,,0.2864,,29.6268,,,89.50,transit,1,2018
K2-172,K2-172,0.934,0.869,,-0.06,,K2-172 b,,0.1490,,14.3169,,,88.9,transit,1,2018
K2-173,K2-173,0.882,0.843,,-0.25,,K2-173 b,,0.1436,,5.86870,,,87.8,transit,1,2018
K2-174,K2-174,0.668,0.639,,-0.24,,K2-174 b,,0.2221,,19.56274,,,88.94,transit,1,2018
K2-175,K2-175,1.095,1.42,,0.05,,K2-175 b,,0.1820,,9.5260,,,87.5,transit,1,2018
K2-176,K2-176,0.939,0.864,,0.15,,K2-176 b,,0.1329,,5.32944,,,88.1,transit,1,2018
K2-177,K2-177,1.211,1.214,,0.41,,K2-177 b,,0.1891,,14.1552,,,87.2,transit,1,2018
K2-178,K2-178,0.951,0.887,,0.09,,K2-178 b,,0.3176,,8.74782,,,88.6,transit,1,2018
K2-179,K2-179,0.824,0.768,,0.03,,K2-179 b,,0.2239,,5.17219,,,88.8,transit,1,2018
K2-180,K2-180,0.730,0.681,,-0.59,,K2-180 b,,0.2150,,8.86593,,,88.7,transit,1,2018
K2-181,K2-181,1.044,0.999,,0.42,,K2-181 b,,0.2418,,6.89425,,,88.6,transit,1,2018
K2-182,K2-182,0.847,0.790,,-0.01,,K2-182 b,,0.2471,,4.736884,,,88.3,transit,1,2018
K2-183,K2-183,0.942,0.873,,0.09,,K2-183 c,,0.2239,,10.79347,,,88.4,transit,1,2018
K2-183,K2-183,0.942,0.873,,0.09,,K2-183 d,,0.2266,,22.6295,,,89.38,transit,1,2018
K2-183,K2-183,0.942,0.873,,0.09,,K2-183 b,,0.2676,,0.469269,,,25.0,transit,1,2018
K2-184,K2-184,0.819,0.764,,-0.22,,K2-184 b,,0.1374,,16.99344,,,89.47,transit,1,2018
K2-185,K2-185,0.976,0.914,,-0.05,,K2-185 b,,0.1169,,10.6166,,,88.9,transit,1,2018
K2-186,K2-186,1.019,0.981,,0.06,,K2-186 b,,0.2828,,41.4742,,,89.52,transit,1,2018
K2-187,K2-187,0.967,0.895,,0.26,,K2-187 d,,0.2873,,7.14908,,,87.5,transit,1,2018
K2-187,K2-187,0.967,0.895,,0.26,,K2-187 e,,0.2016,,13.6083,,,89.0,transit,1,2018
K2-187,K2-187,0.967,0.895,,0.26,,K2-187 c,,0.1517,,2.87179,,,86.1,transit,1,2018
K2-187,K2-187,0.967,0.895,,0.26,,K2-187 b,,0.1231,,0.773981,,,82.0,transit,1,2018
K2-188,K2-188,1.107,1.11,,0.16,,K2-188 b,,0.1124,,1.74298,,,83.9,transit,1,2018
K2-188,K2-188,1.107,1.11,,0.16,,K2-188 c,,0.2346,,7.80760,,,88.1,transit,1,2018
K2-189,K2-189,0.928,0.862,,-0.01,,K2-189 b,,0.1347,,5.17630,,,88.1,transit,1,2018
K2-189,K2-189,0.928,0.862,,-0.01,,K2-189 c,,0.2213,,6.67934,,,88.2,transit,1,2018
K2-190,K2-190,0.905,0.912,,-0.19,,K2-190 b,,0.1213,,10.09886,,,88.4,transit,1,2018
K2-190,K2-190,0.905,0.912,,-0.19,,K2-190 c,,0.0972,,21.5740,,,89.0,transit,1,2018
K2-191,K2-191,0.901,0.840,,0.31,,K2-191 b,,0.1410,,2.85865,,,87.1,transit,1,2018
K2-192,K2-192,0.873,0.828,,0.05,,K2-192 b,,0.1401,,4.16322,,,88.4,transit,1,2018
K2-193,K2-193,0.994,0.957,,0.21,,K2-193 b,,0.3577,,14.78721,,,89.19,transit,1,2018
K2-194,K2-194,1.110,1.28,,0.1,,K2-194 b,,0.3247,,39.7214,,,89.1,transit,1,2018
K2-195,K2-195,0.963,0.906,,-0.09,,K2-195 b,,0.2623,,15.85354,,,89.0,transit,1,2018
K2-195,K2-195,0.963,0.906,,-0.09,,K2-195 c,,0.2302,,28.4828,,,88.5,transit,1,2018
K2-196,K2-196,1.162,1.54,,0.01,,K2-196 b,,0.3212,,48.3242,,,88.3,transit,1,2018
K2-197,K2-197,0.975,0.910,,-0.01,,K2-197 b,,0.2230,,8.35795,,,88.5,transit,1,2018
K2-198,K2-198,0.80,0.76,5212.90,,,K2-198 c,,0.127,1230,3.35960550,,,86.494,transit,1,2019
K2-198,K2-198,0.80,0.76,5212.90,,,K2-198 d,,0.218,943,7.45001770,,,89.860,transit,1,2019
K2-198,K2-198,0.80,0.76,5212.90,,,K2-198 b,,0.374,716,17.04286830,,,88.904,transit,1,2018
K2-199,K2-199,0.706,0.667,,-0.23,,K2-199 b,,0.1677,,3.225423,,,87.2,transit,1,2018
K2-199,K2-199,0.706,0.667,,-0.23,,K2-199 c,,0.2534,,7.37450,,,88.9,transit,1,2018
K2-200,K2-200,0.860,0.792,,-0.04,,K2-200 b,,0.1213,,2.84988,,,88.0,transit,1,2018
K2-201,K2-201,0.956,0.878,,0.13,,K2-201 b,,0.1249,,1.059790,,,84.4,transit,1,2018
K2-201,K2-201,0.956,0.878,,0.13,,K2-201 c,,0.2935,,22.7799,,,89.27,transit,1,2018
K2-2016-BLG-0005L,K2-2016-BLG-0005L,0.584,,,,,K2-2016-BLG-0005L b,1.1,,,,4.18,,,microlensing,0,2022
K2-202,K2-202,0.971,0.911,,0.27,,K2-202 b,,0.2052,,3.40516,,,87.7,transit,1,2018
K2-203,K2-203,0.794,0.763,,-0.07,,K2-203 b,,0.1222,,9.6951,,,88.4,transit,1,2018
K2-204,K2-204,1.009,1.18,,0.07,,K2-204 b,,0.2721,,7.05578,,,87.6,transit,1,2018
K2-205,K2-205,0.951,1.08,,-0.26,,K2-205 b,,0.1784,,26.6723,,,89.1,transit,1,2018
K2-206,K2-206,0.789,0.758,,-0.14,,K2-206 b,,0.2498,,18.2945,,,89.1,transit,1,2018
K2-207,K2-207,0.942,0.928,,0.11,,K2-207 b,,0.2328,,12.4875,,,88.6,transit,1,2018
K2-208,K2-208,0.925,0.862,,-0.11,,K2-208 b,,0.1499,,4.19095,,,88.0,transit,1,2018
K2-209,K2-209,0.745,0.712,,-0.06,,K2-209 b,,0.078,,2.08061,,,86.2,transit,1,2018
K2-210,K2-210,0.912,0.852,,0.05,,K2-210 b,,0.073,,0.570233,,,84.1,transit,1,2018
K2-211,K2-211,0.882,0.816,,0.11,,K2-211 b,,0.1222,,0.669558,,,82.0,transit,1,2018
K2-212,K2-212,0.622,0.598,,-0.33,,K2-212 b,,0.2132,,9.79540,,,89.2,transit,1,2018
K2-213,K2-213,1.070,1.20,,0.25,,K2-213 b,,0.1347,,8.1309,,,87.9,transit,1,2018
K2-214,K2-214,1.022,1.12,,0.12,,K2-214 b,,0.1981,,8.59653,,,88.1,transit,1,2018
K2-215,K2-215,1.000,0.974,,0.11,,K2-215 b,,0.1891,,8.26965,,,89.0,transit,1,2018
K2-216,K2-216,0.699,0.666,,-0.18,,K2-216 b,,0.1499,,2.174789,,,87.0,transit,1,2018
K2-217,K2-217,1.103,1.33,,0.04,,K2-217 b,,0.3194,,14.07452,,,88.0,transit,1,2018
K2-218,K2-218,1.047,1.008,,0.25,,K2-218 b,,0.2293,,8.67989,,,88.5,transit,1,2018
K2-219,K2-219,1.022,1.19,,0.13,,K2-219 b,,0.1204,,3.90129,,,86.8,transit,1,2018
K2-219,K2-219,1.022,1.19,,0.13,,K2-219 c,,0.1285,,6.6677,,,87.3,transit,1,2018
K2-219,K2-219,1.022,1.19,,0.13,,K2-219 d,,0.2302,,11.13728,,,88.3,transit,1,2018
K2-220,K2-220,0.960,0.930,,0.06,,K2-220 b,,0.1972,,13.68251,,,88.9,transit,1,2018
K2-221,K2-221,1.011,0.948,,0.13,,K2-221 b,,0.1499,,2.39909,,,85.4,transit,1,2018
K2-222,K2-222,0.950,1.04,,-0.3,,K2-222 b,,0.1981,,15.38883,,,88.8,transit,1,2018
K2-223,K2-223,1.067,1.013,,0.19,,K2-223 b,,0.0812,,0.505570,,,82.0,transit,1,2018
K2-223,K2-223,1.067,1.013,,0.19,,K2-223 c,,0.1445,,4.56417,,,87.5,transit,1,2018
K2-224,K2-224,0.91,0.84,5620.00,-0.190,,K2-224 c,,0.215,764,10.09489000,0.088600,,,transit,1,2018
K2-224,K2-224,0.91,0.84,5620.00,-0.190,,K2-224 b,,0.139,1002,4.47904000,0.051600,,,transit,1,2018
K2-225,K2-225,1.115,1.21,,0.47,,K2-225 b,,0.2373,,15.8715,,,88.4,transit,1,2018
K2-226,K2-226,0.886,0.824,,-0.08,,K2-226 b,,0.1329,,3.27111,,,86.7,transit,1,2018
K2-227,K2-227,0.951,0.891,,-0.1,,K2-227 b,,0.152,,13.6218,,,88.4,transit,1,2018
K2-228,K2-228,0.742,0.699,,-0.13,,K2-228 b,,0.1231,,2.69837,,,87.5,transit,1,2018
K2-229,K2-229,0.858,0.802,,-0.03,,K2-229 b,,0.1115,,0.584240,,,82.0,transit,1,2018
