#This file was produced by Open Exoplanet Catalogue https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue/blob/master/

# COLUMN system_name: Name of the planetary system.  
# COLUMN star_name: Host star's name.  
# COLUMN star_mass: Star's mass in Solar masses (M☉).  
# COLUMN star_radius: Star's radius in Solar radii (R☉).  
# COLUMN star_temperature: Star's temperature in Kelvin (K).  
# COLUMN star_metallicity: Star's metallicity [Fe/H] in dex.  
# COLUMN star_spectral_type: Star's spectral classification.  
# COLUMN planet_name: Exoplanet's name.  
# COLUMN planet_mass: Exoplanet's mass in M♃ or M⊕.  
# COLUMN planet_radius: Exoplanet's radius in R♃ or R⊕.  
# COLUMN planet_temperature: Exoplanet's temperature in Kelvin (K).  
# COLUMN planet_period: Orbital period in days.  
# COLUMN planet_semimajoraxis: Semi-major axis in AU.  
# COLUMN planet_eccentricity: Orbital eccentricity.  
# COLUMN planet_inclination: Orbital inclination in degrees.  
# COLUMN discovery_method: Method used to detect the exoplanet.  
# COLUMN is_transiting: 1 if transiting, 0 if not.  
# COLUMN discovery_year: Year of discovery.  

system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,star_spectral_type,planet_name,planet_mass,planet_radius,planet_temperature,planet_period,planet_semimajoraxis,planet_eccentricity,planet_inclination,discovery_method,is_transiting,discovery_year
47 UMa,47 UMa,1.063,1.24,5818.7,-0.019,G0V,47 UMa b,2.53,,,1078,2.100,0.032,,RV,0,1996
47 UMa,47 UMa,1.063,1.24,5818.7,-0.019,G0V,47 UMa c,0.540,,,2391,3.6,0.098,,RV,0,2001
47 UMa,47 UMa,1.063,1.24,5818.7,-0.019,G0V,47 UMa d,1.64,,,14002,11.6,0.16,,RV,0,2010
51 Peg,51 Peg,1.04,1.266,5793.0,0.2,G2 IV,51 Peg b,0.46,,1260.3,4.231,0.052,0,80,RV,0,1995
6 Lyn,6 Lyn,1.82,5.2,4978.0,-0.13,K0IV,6 Lyn b,2.21,,,874.774,2.18,0.059,2.0,RV,0,2008
61 Vir,61 Vir,0.95,0.963,5571,0.05,G5V,61 Vir b,0.016,,,4.2150,0.050201,0.12,,RV,0,2009
61 Vir,61 Vir,0.95,0.963,5571,0.05,G5V,61 Vir c,0.0573,,,38.021,0.2175,0.14,,RV,0,2009
61 Vir,61 Vir,0.95,0.963,5571,0.05,G5V,61 Vir d,0.0721,,,123.01,0.476,0.35,,RV,0,2009
7 CMa,7 CMa,1.34,4.87,4826.00,0.210,K1III,7 CMa b,1.85000,,,735.10000000,1.758000,0.060000,90.000,RV,0,2011
7 CMa,7 CMa,1.34,4.87,4826.00,0.210,K1III,7 CMa c,0.87000,,,996.00000000,2.153000,0.080000,90.000,RV,0,2019
70 Vir,70 Vir,1.09,1.94,5439,-0.09,G4 V,70 Vir b,7.4,,479.1,116.6926,0.481,0.399,,RV,0,1996
75 Cet,75 Cet,2.49,10.5,4846,0.00,G3III:,75 Cet b,3.0,,,691.9,2.1,0.117,,RV,0,2012
8 Ursae Minoris,8 Ursae Minoris,1.8,9.9,4847.4,-0.03,K0,8 Ursae Minoris b,1.5,,,93.4,0.49,0.06,,RV,0,2015
81 Cet,81 Cet,2.4,11,4790.0,-0.06,G5III,81 Cet b,5.3,,,952.7,2.5,0.206,,RV,0,2008
AB Aur,AB Aur,2.4,,,,A0V,AB Aur b,9.0,,,,93.9,0.4,42.6,imaging,0,2008
AB Pic,AB Pic,,,4875.0,-0.64,K2 V,AB Pic b,12,1.55,1750,,,,,imaging,0,2005
AF Lep,AF Lep,1.20,1.25,6130.00,0.190,F8V,AF Lep b,3.20000,1.170,1.40000000000e+03,8030.00000000,8.400000,0.240000,50.000,imaging,1,2023
alf Ari,alf Ari,1.5,13.9,4553,-0.09,K2III,alf Ari b,1.8,,,380.8,1.2,0.25,,RV,0,2011
AU Mic,AU Mic,0.50,0.75,3700.00,,M1VE,AU Mic b,0.18000,0.375,,8.46321000,0.066000,0.100000,,transit,1,2020
BD+02.3313,BD+02.3313,1.03,8.47,4425.0,0.1,K2,BD+02.3313 b,34.1,,,1393.0,2.47,0.47,,RV,0,2021
BD+03 2562,BD+03 2562,1.14,32.35,4095.0,-0.71,,BD+03 2562 b,6.4,,,481.9,1.3,0.2,,RV,0,2017
BD+14 4559,BD+14 4559,0.86,,5008,0.10,K2V,BD+14 4559 b,1.47,,,268.94,0.777,0.29,,RV,0,2009
BD+15 2375,BD+15 2375,1.08,8.95,4649,-0.22,,BD+15 2375 b,1.061,,,153.22,0.576,0.001,,RV,0,2016
BD+15 2940,BD+15 2940,1.1,14.7,4796,0.28,K0,BD+15 2940 b,1.11,,,137.48,0.539,0.26,,RV,0,2013
BD+20 1790,BD+20 1790,0.63,,4410,0.30,K5Ve,BD+20 1790 b,6.37,,,7.78287,0.066,0.22,50.41,RV,0,2015
BD+20 2457,BD+20 2457,2.8,,4137,-1.00,K2II,BD+20 2457 b,21.42,,,379.63,1.45,0.15,,RV,0,2009
BD+20 2457,BD+20 2457,2.8,,4137,-1.00,K2II,BD+20 2457 c,12.47,,,621.99,2.01,0.18,,RV,0,2009
BD+20 274,BD+20 274,0.8,17.3,4296,-0.46,K5 III,BD+20 274 b,4.2,,,578.2,1.3,0.21,,RV,0,2012
BD+20 594,BD+20 594,0.961,0.928,5766,-0.15,G,BD+20 594 b,0.05129,0.1989,,41.6855,0.241,0,89.55,transit,1,2016
BD+26 1888,BD+26 1888,0.76,,4748,0.02,K7,BD+26 1888 b,26,,,536.78,1.19,0.2675,,RV,0,2016
BD+45 564,BD+45 564,0.81,0.81,5004.00,-0.090,K1,BD+45 564 b,1.36000,1.210,,307.88000000,0.830000,0.120000,2.579,RV,0,2021
BD+48 738,BD+48 738,0.74,11,4414,-0.20,K0III,BD+48 738 b,0.91,,,392.6,1.0,0.2,,RV,0,2011
BD+48 740,BD+48 740,1.09,10.33,4534.00,-0.130,K3III,BD+48 740 b,1.70000,,,733.00000000,1.700000,0.760000,,RV,0,2018
BD+49 828,BD+49 828,1.52,7.6,4943,-0.19,K0,BD+49 828 b,1.6,,,2590,4.2,0.35,,RV,0,2015
BD+55 362,BD+55 362,0.91,0.90,5012.00,0.180,K3,BD+55 362 b,0.72000,1.250,,265.59000000,0.780000,0.270000,0.601,RV,0,2021
BD+60 1417,BD+60 1417,1.0,0.797,4993.0,,,BD+60 1417 b,15.0,1.31,1303.0,,1662.0,,,imaging,0,2021
BD+63 1405,BD+63 1405,0.82,0.80,5000.00,-0.090,K0,BD+63 1405 b,3.96000,1.160,,1198.48000000,2.060000,0.880000,5.974,RV,0,2021
BD-08 2823,BD-08 2823,0.74,,4746,-0.07,K3V,BD-08 2823 b,0.045,,,5.60,0.056,0.15,,RV,0,2009
BD-08 2823,BD-08 2823,0.74,,4746,-0.07,K3V,BD-08 2823 c,0.33,,,237.6,0.68,0.19,,RV,0,2009
BD-10 3166,BD-10 3166,0.85,0.81,5393,0.382,K3.0 V,BD-10 3166 b,0.408,,,3.48777,0.0427,0.0190,,RV,0,2000
BD-11 4672,BD-11 4672,0.65,0.64,4550.00,-0.350,K7V,BD-11 4672 b,0.65000,,,1634.00000000,2.360000,0.050000,,RV,0,2014
BD-11 4672,BD-11 4672,0.65,0.64,4550.00,-0.350,K7V,BD-11 4672 c,0.04836,,,74.20000000,0.300000,0.400000,,RV,0,2020
BD-17 63,BD-17 63,0.74,0.69,4714,-0.03,K5V,BD-17 63 b,5.1,,,655.6,1.34,0.54,,RV,0,2008
BD-210397,BD-210397,0.68,0.75,4051.00,0.120,K7V,BD-210397 b,0.70000,1.250,,1891.00000000,2.630000,0.100000,,RV,0,2023
BD-210397,BD-210397,0.68,0.75,4051.00,0.120,K7V,BD-210397 c,4.80000,1.150,,6240.00000000,5.900000,0.430000,33.000,RV,0,2023
beta Cancri,beta Cancri,1.7,47.2,4092.1,-0.29,K4III,beta Cancri b,7.8,,,605.2,1.7,0.08,,RV,0,2014
beta Pic,beta Pic,1.76,,,,A5V,beta Pic b,,,,7665.00000000,9.100000,0.080000,88.900,imaging,0,2008
beta Pic,beta Pic,1.76,,,,A5V,beta Pic c,9.00000,,,1200.00000000,2.700000,0.240000,90.000,RV,0,2019
beta Ursae Minoris,beta Ursae Minoris,1.4,38.3,4126,-0.27,K4IIIvar,beta Ursae Minoris b,6.1,,,522.3,1.4,0.19,,RV,0,2014
CFBDS 1458,CFBDS 1458,0.02,,540.0,,T9.5,CFBDS 1458 b,6.5,,,9855,2.6,,,imaging,0,2011
CFHTWIR-Oph 98 A,CFHTWIR-Oph 98 A,0.01,0.24,2320.00,,M9-L1,CFHTWIR-Oph 98 A b,7.80000,1.860,1.80000000000e+03,8040000.00000000,200.000000,,,imaging,0,2020
CHXR 73,CHXR 73,0.35,,3840.0,,M3.25,CHXR 73 b,12,,,,,,,imaging,0,2006
CI Tau,CI Tau,0.80,,,,K4IVe,CI Tau b,12.31,,,8.9891,,0.28,45.7,RV,0,2016
COCONUTS-2,COCONUTS-2,0.37,0.388,3406.0,0.0,M3,COCONUTS-2 b,6.4,1.12,433.0,,6471.0,,,imaging,0,2021
CoRoT-1,CoRoT-1,0.95,1.11,6298.0,-0.3,G0V,CoRoT-1 b,1.03,1.49,1898,1.5089557,0.0254,0.0,85.1,transit,1,2007
CoRoT-10,CoRoT-10,0.89,0.79,5075.0,0.26,K1V,CoRoT-10 b,2.75,0.97,600.8,13.2406,0.1055,0.53,88.55,transit,1,2010
CoRoT-11,CoRoT-11,1.27,1.37,6440.0,-0.03,F6V,CoRoT-11 b,2.49,1.39,1593.4,2.994325,0.04351,0.0,81.41,transit,1,2010
CoRoT-12,CoRoT-12,1.078,1.116,5675.0,0.16,G2V,CoRoT-12 b,0.917,1.44,1318.7,2.828042,0.04016,0.07,85.48,transit,1,2010
CoRoT-13,CoRoT-13,1.09,1.01,5945.0,0.01,G0V,CoRoT-13 b,1.308,0.885,1166.5,4.03519,0.051,0.0,88.02,transit,1,2010
CoRoT-14,CoRoT-14,1.13,1.21,6035.0,0.05,F9V,CoRoT-14 b,7.6,1.09,1781.4,1.51214,0.027,0.0,79.6,transit,1,2010
CoRoT-16,CoRoT-16,1.098,1.19,5650.0,0.19,G5V,CoRoT-16 b,0.53,1.17,1085.5,5.35227,0.0618,0.33,85.01,transit,1,2010
CoRoT-17,CoRoT-17,1.04,1.59,5740.0,,G2V,CoRoT-17 b,2.45,1.02,1486.4,3.768125,0.0461,0.0,88.34,transit,1,2010
CoRoT-18,CoRoT-18,0.95,1,5440.0,-0.1,G9V,CoRoT-18 b,3.47,1.31,1396.0,1.9000693,0.0295,0.08,86.5,transit,1,2011
CoRoT-19,CoRoT-19,1.21,1.65,6090.0,-0.02,F9V,CoRoT-19 b,1.11,1.45,1515.3,3.89713,0.0518,0.047,87.61,transit,1,2011
CoRoT-2,CoRoT-2,0.97,0.902,5575.0,,G7V,CoRoT-2 b,3.31,1.465,1392.7,1.7429964,0.0281,0.0,87.84,transit,1,2007
CoRoT-20,CoRoT-20,1.14,1.02,5880,0.14,G2V,CoRoT-20 b,4.3,0.84,1002,9.24285,0.090,0.59,88.21,transit,1,2011
CoRoT-20,CoRoT-20,1.14,1.02,5880,0.14,G2V,CoRoT-20 c,17,,,1675,2.90,0.60,,RV,0,2018
CoRoT-21,CoRoT-21,1.29,1.945,6200.0,,FIV8,CoRoT-21 b,2.26,1.3,1867.0,2.72474,0.0417,0.0,86.8,transit,1,2011
CoRoT-22,CoRoT-22,1.099,1.136,5939,0.17,G0IV,CoRoT-22 b,0.0383853003178,0.435365216104,885,9.75598,0.092,0.077,89.749,transit,1,2014
CoRoT-23,CoRoT-23,1.14,1.61,5900.0,0.05,G0V,CoRoT-23 b,2.8,1.05,1508.9,3.6314,0.0477,0.16,85.7,transit,1,2011
CoRoT-24,CoRoT-24,0.91,0.86,4950,0.3,K1V,CoRoT-24 b,,0.33,1070,5.1134,0.056,0,86.5,transit,1,2014
CoRoT-24,CoRoT-24,0.91,0.86,4950,0.3,K1V,CoRoT-24 c,0.088,0.44,850,11.759,0.098,0,89,transit,1,2014
CoRoT-25,CoRoT-25,1.09,1.19,6040,-0.01,F9V,CoRoT-25 b,0.27,1.08,,4.86069,0.0578,0,84.5,transit,1,2013
CoRoT-26,CoRoT-26,1.09,1.79,5590,0.01,G5,CoRoT-26 b,0.52,1.26,,4.20474,0.0526,0,86.8,transit,1,2013
