system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,planet_name,planet_radius,planet_temperature,planet_period,semi_major_axis,discovery_method,is_transiting,discovery_year
61 Vir,61 Vir,0.95,0.963,5571.0,0.05,61 Vir b,0.203,762.0,4.215,0.050201,RV,0,2009.0
61 Vir,61 Vir,0.95,0.963,5571.0,0.05,61 Vir c,0.203,762.0,38.021,0.2175,RV,0,2009.0
61 Vir,61 Vir,0.95,0.963,5571.0,0.05,61 Vir d,0.203,762.0,123.01,0.476,RV,0,2009.0
7 CMa,7 CMa,1.34,4.87,4826.0,0.21,7 CMa b,0.203,762.0,735.1,1.758,RV,0,2011.0
7 CMa,7 CMa,1.34,4.87,4826.0,0.21,7 CMa c,0.203,762.0,996.0,2.153,RV,0,2019.0
70 Vir,70 Vir,1.09,1.94,5439.0,-0.09,70 Vir b,0.203,479.1,116.6926,0.481,RV,0,1996.0
75 Cet,75 Cet,2.49,10.5,4846.0,0.0,75 Cet b,0.203,762.0,691.9,2.1,RV,0,2012.0
8 Ursae Minoris,8 Ursae Minoris,1.8,9.9,4847.4,-0.03,8 Ursae Minoris b,0.203,762.0,93.4,0.49,RV,0,2015.0
81 Cet,81 Cet,2.4,11.0,4790.0,-0.06,81 Cet b,0.203,762.0,952.7,2.5,RV,0,2008.0
AB Aur,AB Aur,2.4,0.945,5645.0,0.0,AB Aur b,0.203,762.0,11.8705247,93.9,imaging,0,2008.0
AB Pic,AB Pic,0.954,0.945,4875.0,-0.64,AB Pic b,1.55,1750.0,11.8705247,0.104541,imaging,0,2005.0
AF Lep,AF Lep,1.2,1.25,6130.0,0.19,AF Lep b,1.17,1400.0,8030.0,8.4,imaging,1,2023.0
alf Ari,alf Ari,1.5,13.9,4553.0,-0.09,alf Ari b,0.203,762.0,380.8,1.2,RV,0,2011.0
AU Mic,AU Mic,0.5,0.75,3700.0,0.0,AU Mic b,0.375,762.0,8.46321,0.066,transit,1,2020.0
BD+02.3313,BD+02.3313,1.03,8.47,4425.0,0.1,BD+02.3313 b,0.203,762.0,1393.0,2.47,RV,0,2021.0
BD+03 2562,BD+03 2562,1.14,32.35,4095.0,-0.71,BD+03 2562 b,0.203,762.0,481.9,1.3,RV,0,2017.0
BD+14 4559,BD+14 4559,0.86,0.945,5008.0,0.1,BD+14 4559 b,0.203,762.0,268.94,0.777,RV,0,2009.0
BD+15 2375,BD+15 2375,1.08,8.95,4649.0,-0.22,BD+15 2375 b,0.203,762.0,153.22,0.576,RV,0,2016.0
BD+15 2940,BD+15 2940,1.1,14.7,4796.0,0.28,BD+15 2940 b,0.203,762.0,137.48,0.539,RV,0,2013.0
BD+20 1790,BD+20 1790,0.63,0.945,4410.0,0.3,BD+20 1790 b,0.203,762.0,7.78287,0.066,RV,0,2015.0
BD+20 2457,BD+20 2457,2.8,0.945,4137.0,-1.0,BD+20 2457 b,0.203,762.0,379.63,1.45,RV,0,2009.0
BD+20 2457,BD+20 2457,2.8,0.945,4137.0,-1.0,BD+20 2457 c,0.203,762.0,621.99,2.01,RV,0,2009.0
BD+20 274,BD+20 274,0.8,17.3,4296.0,-0.46,BD+20 274 b,0.203,762.0,578.2,1.3,RV,0,2012.0
BD+20 594,BD+20 594,0.961,0.928,5766.0,-0.15,BD+20 594 b,0.1989,762.0,41.6855,0.241,transit,1,2016.0
BD+26 1888,BD+26 1888,0.76,0.945,4748.0,0.02,BD+26 1888 b,0.203,762.0,536.78,1.19,RV,0,2016.0
BD+45 564,BD+45 564,0.81,0.81,5004.0,-0.09,BD+45 564 b,1.21,762.0,307.88,0.83,RV,0,2021.0
BD+48 738,BD+48 738,0.74,11.0,4414.0,-0.2,BD+48 738 b,0.203,762.0,392.6,1.0,RV,0,2011.0
BD+48 740,BD+48 740,1.09,10.33,4534.0,-0.13,BD+48 740 b,0.203,762.0,733.0,1.7,RV,0,2018.0
BD+49 828,BD+49 828,1.52,7.6,4943.0,-0.19,BD+49 828 b,0.203,762.0,2590.0,4.2,RV,0,2015.0
BD+55 362,BD+55 362,0.91,0.9,5012.0,0.18,BD+55 362 b,1.25,762.0,265.59,0.78,RV,0,2021.0
BD+60 1417,BD+60 1417,1.0,0.797,4993.0,0.0,BD+60 1417 b,1.31,1303.0,11.8705247,1662.0,imaging,0,2021.0
BD+63 1405,BD+63 1405,0.82,0.8,5000.0,-0.09,BD+63 1405 b,1.16,762.0,1198.48,2.06,RV,0,2021.0
BD-08 2823,BD-08 2823,0.74,0.945,4746.0,-0.07,BD-08 2823 b,0.203,762.0,5.6,0.056,RV,0,2009.0
BD-08 2823,BD-08 2823,0.74,0.945,4746.0,-0.07,BD-08 2823 c,0.203,762.0,237.6,0.68,RV,0,2009.0
BD-10 3166,BD-10 3166,0.85,0.81,5393.0,0.382,BD-10 3166 b,0.203,762.0,3.48777,0.0427,RV,0,2000.0
BD-11 4672,BD-11 4672,0.65,0.64,4550.0,-0.35,BD-11 4672 b,0.203,762.0,1634.0,2.36,RV,0,2014.0
BD-11 4672,BD-11 4672,0.65,0.64,4550.0,-0.35,BD-11 4672 c,0.203,762.0,74.2,0.3,RV,0,2020.0
BD-17 63,BD-17 63,0.74,0.69,4714.0,-0.03,BD-17 63 b,0.203,762.0,655.6,1.34,RV,0,2008.0
BD-210397,BD-210397,0.68,0.75,4051.0,0.12,BD-210397 b,1.25,762.0,1891.0,2.63,RV,0,2023.0
BD-210397,BD-210397,0.68,0.75,4051.0,0.12,BD-210397 c,1.15,762.0,6240.0,5.9,RV,0,2023.0
beta Cancri,beta Cancri,1.7,47.2,4092.1,-0.29,beta Cancri b,0.203,762.0,605.2,1.7,RV,0,2014.0
beta Pic,beta Pic,1.76,0.945,5645.0,0.0,beta Pic b,0.203,762.0,7665.0,9.1,imaging,0,2008.0
beta Pic,beta Pic,1.76,0.945,5645.0,0.0,beta Pic c,0.203,762.0,1200.0,2.7,RV,0,2019.0
beta Ursae Minoris,beta Ursae Minoris,1.4,38.3,4126.0,-0.27,beta Ursae Minoris b,0.203,762.0,522.3,1.4,RV,0,2014.0
CFBDS 1458,CFBDS 1458,0.02,0.945,540.0,0.0,CFBDS 1458 b,0.203,762.0,9855.0,2.6,imaging,0,2011.0
CFHTWIR-Oph 98 A,CFHTWIR-Oph 98 A,0.01,0.24,2320.0,0.0,CFHTWIR-Oph 98 A b,1.86,1800.0,8040000.0,200.0,imaging,0,2020.0
CHXR 73,CHXR 73,0.35,0.945,3840.0,0.0,CHXR 73 b,0.203,762.0,11.8705247,0.104541,imaging,0,2006.0
CI Tau,CI Tau,0.8,0.945,5645.0,0.0,CI Tau b,0.203,762.0,8.9891,0.104541,RV,0,2016.0
COCONUTS-2,COCONUTS-2,0.37,0.388,3406.0,0.0,COCONUTS-2 b,1.12,433.0,11.8705247,6471.0,imaging,0,2021.0
CoRoT-1,CoRoT-1,0.95,1.11,6298.0,-0.3,CoRoT-1 b,1.49,1898.0,1.5089557,0.0254,transit,1,2007.0
CoRoT-10,CoRoT-10,0.89,0.79,5075.0,0.26,CoRoT-10 b,0.97,600.8,13.2406,0.1055,transit,1,2010.0
CoRoT-11,CoRoT-11,1.27,1.37,6440.0,-0.03,CoRoT-11 b,1.39,1593.4,2.994325,0.04351,transit,1,2010.0
CoRoT-12,CoRoT-12,1.078,1.116,5675.0,0.16,CoRoT-12 b,1.44,1318.7,2.828042,0.04016,transit,1,2010.0
CoRoT-13,CoRoT-13,1.09,1.01,5945.0,0.01,CoRoT-13 b,0.885,1166.5,4.03519,0.051,transit,1,2010.0
CoRoT-14,CoRoT-14,1.13,1.21,6035.0,0.05,CoRoT-14 b,1.09,1781.4,1.51214,0.027,transit,1,2010.0
CoRoT-16,CoRoT-16,1.098,1.19,5650.0,0.19,CoRoT-16 b,1.17,1085.5,5.35227,0.0618,transit,1,2010.0
CoRoT-17,CoRoT-17,1.04,1.59,5740.0,0.0,CoRoT-17 b,1.02,1486.4,3.768125,0.0461,transit,1,2010.0
CoRoT-18,CoRoT-18,0.95,1.0,5440.0,-0.1,CoRoT-18 b,1.31,1396.0,1.9000693,0.0295,transit,1,2011.0
CoRoT-19,CoRoT-19,1.21,1.65,6090.0,-0.02,CoRoT-19 b,1.45,1515.3,3.89713,0.0518,transit,1,2011.0
CoRoT-2,CoRoT-2,0.97,0.902,5575.0,0.0,CoRoT-2 b,1.465,1392.7,1.7429964,0.0281,transit,1,2007.0
CoRoT-20,CoRoT-20,1.14,1.02,5880.0,0.14,CoRoT-20 b,0.84,1002.0,9.24285,0.09,transit,1,2011.0
CoRoT-20,CoRoT-20,1.14,1.02,5880.0,0.14,CoRoT-20 c,0.203,762.0,1675.0,2.9,RV,0,2018.0
CoRoT-21,CoRoT-21,1.29,1.945,6200.0,0.0,CoRoT-21 b,1.3,1867.0,2.72474,0.0417,transit,1,2011.0
CoRoT-22,CoRoT-22,1.099,1.136,5939.0,0.17,CoRoT-22 b,0.435365216104,885.0,9.75598,0.092,transit,1,2014.0
CoRoT-23,CoRoT-23,1.14,1.61,5900.0,0.05,CoRoT-23 b,1.05,1508.9,3.6314,0.0477,transit,1,2011.0
CoRoT-24,CoRoT-24,0.91,0.86,4950.0,0.3,CoRoT-24 b,0.33,1070.0,5.1134,0.056,transit,1,2014.0
CoRoT-24,CoRoT-24,0.91,0.86,4950.0,0.3,CoRoT-24 c,0.44,850.0,11.759,0.098,transit,1,2014.0
CoRoT-25,CoRoT-25,1.09,1.19,6040.0,-0.01,CoRoT-25 b,1.08,762.0,4.86069,0.0578,transit,1,2013.0
CoRoT-26,CoRoT-26,1.09,1.79,5590.0,0.01,CoRoT-26 b,1.26,762.0,4.20474,0.0526,transit,1,2013.0
CoRoT-27,CoRoT-27,1.05,1.08,5900.0,0.1,CoRoT-27 b,1.007,1500.0,3.57532,0.0476,transit,1,2014.0
CoRoT-28,CoRoT-28,1.01,1.78,5150.0,0.15,CoRoT-28 b,0.955,762.0,5.20851,0.059,transit,1,2015.0
CoRoT-29,CoRoT-29,0.97,0.9,5260.0,0.2,CoRoT-29 b,0.97,762.0,2.8505615,0.0357,transit,1,2015.0
CoRoT-3,CoRoT-3,1.37,1.56,6740.0,-0.02,CoRoT-3 b,1.01,1554.7,4.2568,0.057,transit,1,2008.0
CoRoT-30,CoRoT-30,0.98,0.91,5650.0,0.02,CoRoT-30 b,1.009,762.0,9.06005,0.0844,transit,1,2020.0
CoRoT-31,CoRoT-31,1.25,2.15,5700.0,0.0,CoRoT-31 b,1.46,762.0,4.62941,0.0586,transit,1,2020.0
CoRoT-35,CoRoT-35,1.01,1.65,6390.0,-0.5,CoRoT-35 b,1.68,1747.0,3.22748,0.0429,transit,1,2022.0
CoRoT-36,CoRoT-36,1.32,1.52,6730.0,-0.1,CoRoT-36 b,1.41,1567.0,5.616531,0.066,transit,1,2022.0
CoRoT-4,CoRoT-4,1.1,1.15,6190.0,0.05,CoRoT-4 b,1.19,975.6,9.20205,0.09,transit,1,2008.0
CoRoT-5,CoRoT-5,1.0,1.186,6100.0,-0.25,CoRoT-5 b,1.388,1316.3,4.0378962,0.04947,transit,1,2008.0
CoRoT-6,CoRoT-6,1.05,1.025,6090.0,-0.2,CoRoT-6 b,1.166,929.2,8.886593,0.0855,transit,1,2009.0
CoRoT-7,CoRoT-7,0.82,0.83,5275.0,0.05,CoRoT-7 b,0.15,1756.0,0.85359163,0.017016,transit,1,2009.0
CoRoT-7,CoRoT-7,0.82,0.83,5275.0,0.05,CoRoT-7 c,0.253,762.0,3.698,0.046,RV,1,2009.0
CoRoT-7,CoRoT-7,0.82,0.83,5275.0,0.05,CoRoT-7 d,0.384,762.0,8.966,0.104541,RV,0,2022.0
CoRoT-8,CoRoT-8,0.88,0.77,5080.0,0.3,CoRoT-8 b,0.57,783.1,6.21229,0.063,transit,1,2010.0
CoRoT-9,CoRoT-9,0.99,0.94,5625.0,-0.01,CoRoT-9 b,1.05,376.6,95.2738,0.407,transit,1,2010.0
CoRoTID 223977153,CoRoTID 223977153,1.08,0.79,5970.0,0.0,CoRoTID 223977153 b,0.57,938.0,6.71837,0.071,transit,1,2017.0
CT Cha,CT Cha,0.954,0.945,5150.0,0.0,CT Cha B,2.4,2500.0,11.8705247,0.104541,imaging,0,2008.0
DE CVn,DE CVn,0.51,0.945,5645.0,0.0,DE CVn b,0.203,762.0,4098.1,5.75,timing,0,2018.0
DH Tau,DH Tau,0.4,0.945,3840.0,0.0,DH Tau B,0.203,2750.0,11.8705247,0.104541,imaging,0,2005.0
DMPP-1,DMPP-1,1.21,1.26,6196.0,0.0,DMPP-1 b,0.203,877.0,18.57,0.1462,RV,0,2019.0
DMPP-1,DMPP-1,1.21,1.26,6196.0,0.0,DMPP-1 c,0.203,1239.0,6.584,0.0733,RV,0,2019.0
DMPP-1,DMPP-1,1.21,1.26,6196.0,0.0,DMPP-1 d,0.203,1632.0,2.882,0.0422,RV,0,2019.0
