system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,planet_name,planet_radius,planet_temperature,planet_period,semi_major_axis,discovery_method,is_transiting,discovery_year
Kepler-150,Kepler-150,0.97,0.939,5560.0,0.0,Kepler-150 e,0.28433,762.0,30.826557,0.104541,transit,1,2014.0
Kepler-150,Kepler-150,0.97,0.939,5560.0,0.0,Kepler-150 b,0.11391,762.0,3.428054,0.104541,transit,1,2014.0
Kepler-1500,Kepler-1500,1.0,1.0,5845.0,-0.05,Kepler-1500 b,0.107,762.0,15.0330105,0.104541,transit,1,2016.0
Kepler-1501,Kepler-1501,1.2,1.3,6229.0,0.04,Kepler-1501 b,0.139,762.0,14.5564533,0.104541,transit,1,2016.0
Kepler-1502,Kepler-1502,1.44,1.72,6666.0,0.05,Kepler-1502 b,0.284,762.0,41.7083629,0.104541,transit,1,2016.0
Kepler-1503,Kepler-1503,0.77,0.74,5069.0,-0.19,Kepler-1503 b,0.203,762.0,96.16987,0.104541,transit,1,2016.0
Kepler-1504,Kepler-1504,0.85,0.81,5393.0,-0.17,Kepler-1504 b,0.19,762.0,82.304003,0.104541,transit,1,2016.0
Kepler-1505,Kepler-1505,0.93,0.86,5686.0,-0.18,Kepler-1505 b,0.083,762.0,30.8609366,0.104541,transit,1,2016.0
Kepler-1506,Kepler-1506,0.95,0.93,5676.0,-0.05,Kepler-1506 b,0.118,762.0,14.0329154,0.104541,transit,1,2016.0
Kepler-1507,Kepler-1507,0.89,0.85,5410.0,-0.03,Kepler-1507 b,0.075,762.0,16.0506213,0.104541,transit,1,2016.0
Kepler-1508,Kepler-1508,1.14,1.22,6158.0,0.01,Kepler-1508 b,0.119,762.0,20.7056504,0.104541,transit,1,2016.0
Kepler-1509,Kepler-1509,1.0,0.99,5780.0,0.03,Kepler-1509 b,0.165,762.0,25.4338197,0.104541,transit,1,2016.0
Kepler-151,Kepler-151,0.86,0.83,5460.0,0.0,Kepler-151 b,0.27886,762.0,15.228958,0.104541,transit,1,2014.0
Kepler-151,Kepler-151,0.86,0.83,5460.0,0.0,Kepler-151 c,0.19046,762.0,24.674612,0.104541,transit,1,2014.0
Kepler-1510,Kepler-1510,1.19,1.28,6200.0,0.04,Kepler-1510 b,0.3,762.0,84.703921,0.104541,transit,1,2016.0
Kepler-1511,Kepler-1511,1.17,1.29,6064.0,0.14,Kepler-1511 b,0.15,762.0,23.2382792,0.104541,transit,1,2016.0
Kepler-1512,Kepler-1512,0.73,0.67,4372.0,0.2,Kepler-1512 b,0.105,762.0,20.35972599,0.104541,transit,1,2016.0
Kepler-1513,Kepler-1513,0.99,0.97,5617.0,0.14,Kepler-1513 b,0.755,762.0,160.88465087,0.104541,transit,1,2016.0
Kepler-1514,Kepler-1514,1.2,1.29,6145.0,0.119,Kepler-1514 b,1.108,388.0,217.83184,0.753,transit,1,2016.0
Kepler-1514,Kepler-1514,1.2,1.29,6145.0,0.119,Kepler-1514 c,0.105,1066.0,10.514181,0.0997,transit,1,2020.0
Kepler-1515,Kepler-1515,1.3,1.41,6511.0,0.07,Kepler-1515 b,0.852,762.0,214.3114164,0.104541,transit,1,2016.0
Kepler-1516,Kepler-1516,1.04,1.07,5904.0,0.03,Kepler-1516 b,0.156,762.0,7.25931979,0.104541,transit,1,2016.0
Kepler-1517,Kepler-1517,1.58,1.95,7010.0,0.01,Kepler-1517 b,0.871,762.0,5.54608367,0.104541,transit,1,2016.0
Kepler-1518,Kepler-1518,1.54,1.88,6846.0,0.06,Kepler-1518 b,0.272,762.0,5.11177904,0.104541,transit,1,2016.0
Kepler-1519,Kepler-1519,0.94,0.91,5644.0,-0.07,Kepler-1519 b,0.63,762.0,240.7989397,0.104541,transit,1,2016.0
Kepler-152,Kepler-152,0.954,0.724,5088.0,0.0,Kepler-152 b,0.25425,762.0,18.207973,0.104541,transit,1,2014.0
Kepler-152,Kepler-152,0.954,0.724,5088.0,0.0,Kepler-152 c,0.2178,762.0,88.255055,0.104541,transit,1,2014.0
Kepler-1521,Kepler-1521,0.81,0.76,5042.0,-0.05,Kepler-1521 b,0.223,762.0,47.14840805,0.104541,transit,1,2016.0
Kepler-1522,Kepler-1522,0.96,0.93,5706.0,-0.07,Kepler-1522 b,0.154,762.0,1.84788917,0.104541,transit,1,2016.0
Kepler-1523,Kepler-1523,0.97,0.96,5708.0,0.0,Kepler-1523 b,0.141,762.0,0.93875077,0.104541,transit,1,2016.0
Kepler-1524,Kepler-1524,1.17,1.25,6179.0,0.04,Kepler-1524 b,0.316,762.0,70.9674603,0.104541,transit,1,2016.0
Kepler-1525,Kepler-1525,1.07,1.04,5748.0,0.27,Kepler-1525 b,0.081,762.0,2.41660118,0.104541,transit,1,2016.0
Kepler-1526,Kepler-1526,0.73,0.69,4601.0,-0.01,Kepler-1526 b,0.217,762.0,3.908632,0.104541,transit,1,2016.0
Kepler-1527,Kepler-1527,1.21,1.32,6224.0,0.07,Kepler-1527 b,0.426,762.0,160.129918,0.104541,transit,1,2016.0
Kepler-1528,Kepler-1528,1.03,1.03,5857.0,0.03,Kepler-1528 b,0.13,762.0,1.79111021,0.104541,transit,1,2016.0
Kepler-1529,Kepler-1529,0.81,0.77,5048.0,-0.03,Kepler-1529 b,0.187,762.0,5.33905686,0.104541,transit,1,2016.0
Kepler-153,Kepler-153,0.82,0.892,5404.0,0.0,Kepler-153 b,0.2661,762.0,18.870227,0.104541,transit,1,2014.0
Kepler-153,Kepler-153,0.82,0.892,5404.0,0.0,Kepler-153 c,0.23056,762.0,46.90232,0.104541,transit,1,2014.0
Kepler-1530,Kepler-1530,0.92,0.88,5477.0,0.03,Kepler-1530 b,0.146,762.0,2.5904434,0.104541,transit,1,2016.0
Kepler-1530,Kepler-1530,0.92,0.88,5477.0,0.03,Kepler-1530 c,0.147,762.0,5.3227406,0.104541,transit,1,2016.0
Kepler-1531,Kepler-1531,1.16,1.27,6260.0,-0.03,Kepler-1531 b,0.099,762.0,1.13854338,0.104541,transit,1,2016.0
Kepler-1532,Kepler-1532,0.91,0.88,5559.0,-0.1,Kepler-1532 b,0.12,762.0,1.09366356,0.104541,transit,1,2016.0
Kepler-1533,Kepler-1533,1.31,1.51,6431.0,0.03,Kepler-1533 b,0.309,762.0,308.5471,0.104541,transit,1,2016.0
Kepler-1534,Kepler-1534,0.9,0.86,5442.0,-0.01,Kepler-1534 b,0.169,762.0,5.71668872,0.104541,transit,1,2016.0
Kepler-1535,Kepler-1535,1.08,1.11,6021.0,0.0,Kepler-1535 b,0.227,762.0,138.9442,0.104541,transit,1,2016.0
Kepler-1536,Kepler-1536,0.71,0.67,4434.0,0.05,Kepler-1536 b,0.28,762.0,364.758031,0.104541,transit,1,2016.0
Kepler-1537,Kepler-1537,0.81,0.77,5079.0,-0.08,Kepler-1537 b,0.105,762.0,1.4444538,0.104541,transit,1,2016.0
Kepler-1538,Kepler-1538,1.03,1.03,5837.0,0.02,Kepler-1538 b,0.252,762.0,175.138819,0.104541,transit,1,2016.0
Kepler-1539,Kepler-1539,0.84,0.8,5176.0,-0.01,Kepler-1539 b,0.241,762.0,133.3036741,0.104541,transit,1,2016.0
Kepler-154,Kepler-154,0.954,1.001,5690.0,0.0,Kepler-154 b,0.20595,762.0,33.040532,0.104541,transit,1,2014.0
Kepler-154,Kepler-154,0.954,1.001,5690.0,0.0,Kepler-154 c,0.26883,762.0,62.303276,0.104541,transit,1,2014.0
Kepler-154,Kepler-154,0.954,1.001,5690.0,0.0,Kepler-154 d,0.343,762.0,20.54981883,0.104541,transit,1,2016.0
Kepler-154,Kepler-154,0.954,1.001,5690.0,0.0,Kepler-154 e,0.134,762.0,3.93276465,0.104541,transit,1,2016.0
Kepler-154,Kepler-154,0.954,1.001,5690.0,0.0,Kepler-154 f,0.134,762.0,9.91935684,0.104541,transit,1,2016.0
Kepler-1540,Kepler-1540,0.74,0.69,4540.0,0.1,Kepler-1540 b,0.222,762.0,125.4131177,0.104541,transit,1,2016.0
Kepler-1541,Kepler-1541,0.86,0.81,5282.0,-0.04,Kepler-1541 b,0.103,762.0,8.40691199,0.104541,transit,1,2016.0
Kepler-1542,Kepler-1542,0.94,0.99,5564.0,0.06,Kepler-1542 b,0.068,762.0,3.95116882,0.104541,transit,1,2016.0
Kepler-1542,Kepler-1542,0.94,0.99,5564.0,0.06,Kepler-1542 c,0.058,762.0,2.89223021,0.104541,transit,1,2016.0
Kepler-1542,Kepler-1542,0.94,0.99,5564.0,0.06,Kepler-1542 d,0.078,762.0,5.99273738,0.104541,transit,1,2016.0
Kepler-1542,Kepler-1542,0.94,0.99,5564.0,0.06,Kepler-1542 e,0.068,762.0,5.10115756,0.104541,transit,1,2016.0
Kepler-1543,Kepler-1543,1.39,1.65,6561.0,0.07,Kepler-1543 b,0.242,762.0,6.96710269,0.104541,transit,1,2016.0
Kepler-1544,Kepler-1544,0.81,0.74,4886.0,0.02,Kepler-1544 b,0.159,762.0,168.811174,0.104541,transit,1,2016.0
Kepler-1545,Kepler-1545,0.84,0.8,5201.0,-0.06,Kepler-1545 b,0.241,762.0,163.692349,0.104541,transit,1,2016.0
Kepler-1546,Kepler-1546,0.95,0.93,5623.0,0.01,Kepler-1546 b,0.279,762.0,19.5974971,0.104541,transit,1,2016.0
Kepler-1547,Kepler-1547,1.12,1.18,6078.0,0.04,Kepler-1547 b,0.08,762.0,0.69297968,0.104541,transit,1,2016.0
Kepler-1548,Kepler-1548,0.99,0.97,5706.0,0.05,Kepler-1548 b,0.236,762.0,124.828679,0.104541,transit,1,2016.0
Kepler-1549,Kepler-1549,0.88,0.84,5324.0,0.02,Kepler-1549 b,0.229,762.0,214.886545,0.104541,transit,1,2016.0
Kepler-155,Kepler-155,0.635,0.62,4508.0,0.0,Kepler-155 b,0.19046,762.0,5.931194,0.104541,transit,1,2014.0
Kepler-155,Kepler-155,0.635,0.62,4508.0,0.0,Kepler-155 c,0.20413,762.0,52.661793,0.104541,transit,1,2014.0
Kepler-1550,Kepler-1550,1.07,1.11,5991.0,0.01,Kepler-1550 b,0.269,762.0,225.582809,0.104541,transit,1,2016.0
Kepler-1551,Kepler-1551,1.14,1.22,6136.0,0.01,Kepler-1551 b,0.237,762.0,24.4973698,0.104541,transit,1,2016.0
Kepler-1552,Kepler-1552,0.85,0.78,5202.0,-0.07,Kepler-1552 b,0.22,762.0,184.771853,0.104541,transit,1,2016.0
Kepler-1553,Kepler-1553,0.85,0.81,5288.0,-0.09,Kepler-1553 b,0.103,762.0,4.24261881,0.104541,transit,1,2016.0
Kepler-1554,Kepler-1554,0.84,0.81,5297.0,-0.1,Kepler-1554 b,0.259,762.0,198.088774,0.104541,transit,1,2016.0
Kepler-1555,Kepler-1555,1.04,1.06,5866.0,0.03,Kepler-1555 b,0.144,762.0,8.10501635,0.104541,transit,1,2016.0
Kepler-1556,Kepler-1556,0.97,0.95,5608.0,0.08,Kepler-1556 b,0.175,762.0,8.82713457,0.104541,transit,1,2016.0
Kepler-1557,Kepler-1557,1.11,1.17,6099.0,0.02,Kepler-1557 b,0.136,762.0,3.74032496,0.104541,transit,1,2016.0
Kepler-1558,Kepler-1558,0.83,0.79,5101.0,0.0,Kepler-1558 b,0.061,762.0,3.50470358,0.104541,transit,1,2016.0
Kepler-1559,Kepler-1559,0.86,0.82,5316.0,-0.04,Kepler-1559 b,0.064,762.0,0.97191543,0.104541,transit,1,2016.0
Kepler-156,Kepler-156,0.737,0.807,5094.0,0.0,Kepler-156 c,0.23238,762.0,15.906801,0.104541,transit,1,2014.0
Kepler-156,Kepler-156,0.737,0.807,5094.0,0.0,Kepler-156 b,0.2096,762.0,4.973456,0.104541,transit,1,2014.0
Kepler-1560,Kepler-1560,1.02,1.02,5815.0,0.04,Kepler-1560 b,0.079,762.0,3.03195744,0.104541,transit,1,2016.0
Kepler-1561,Kepler-1561,1.07,1.11,5957.0,0.04,Kepler-1561 b,0.097,762.0,1.00520701,0.104541,transit,1,2016.0
Kepler-1562,Kepler-1562,1.02,1.05,5760.0,0.11,Kepler-1562 b,0.317,762.0,64.2737752,0.104541,transit,1,2016.0
Kepler-1563,Kepler-1563,1.0,0.99,5765.0,0.02,Kepler-1563 b,0.067,762.0,3.43276598,0.104541,transit,1,2016.0
Kepler-1564,Kepler-1564,0.93,0.9,5528.0,0.03,Kepler-1564 b,0.131,762.0,18.0540381,0.104541,transit,1,2016.0
Kepler-1565,Kepler-1565,0.76,0.73,4940.0,-0.16,Kepler-1565 b,0.106,762.0,1.53818844,0.104541,transit,1,2016.0
Kepler-1566,Kepler-1566,0.84,0.81,5254.0,-0.07,Kepler-1566 b,0.07,762.0,0.53991524,0.104541,transit,1,2016.0
Kepler-1567,Kepler-1567,0.95,0.93,5655.0,-0.03,Kepler-1567 b,0.244,762.0,153.979578,0.104541,transit,1,2016.0
Kepler-1568,Kepler-1568,1.09,1.19,5956.0,0.09,Kepler-1568 b,0.116,762.0,20.925392,0.104541,transit,1,2016.0
Kepler-1569,Kepler-1569,1.25,1.4,6319.0,0.06,Kepler-1569 b,0.15,762.0,5.79180156,0.104541,transit,1,2016.0
Kepler-157,Kepler-157,1.028,1.044,5774.0,0.0,Kepler-157 c,0.20413,762.0,13.5405,0.104541,transit,1,2014.0
Kepler-157,Kepler-157,1.028,1.044,5774.0,0.0,Kepler-157 b,0.12029,762.0,1.732342,0.104541,transit,1,2014.0
Kepler-157,Kepler-157,1.028,1.044,5774.0,0.0,Kepler-157 d,0.13,762.0,7.02573474,0.104541,transit,1,2016.0
Kepler-1570,Kepler-1570,0.92,0.89,5550.0,-0.04,Kepler-1570 b,0.095,762.0,26.548955,0.104541,transit,1,2016.0
Kepler-1571,Kepler-1571,1.23,1.39,6297.0,0.04,Kepler-1571 b,0.136,762.0,3.38555488,0.104541,transit,1,2016.0
Kepler-1572,Kepler-1572,0.97,0.95,5618.0,0.08,Kepler-1572 b,0.084,762.0,5.49548621,0.104541,transit,1,2016.0
Kepler-1573,Kepler-1573,1.01,1.0,5808.0,0.02,Kepler-1573 b,0.107,762.0,2.6157554,0.104541,transit,1,2016.0
Kepler-1574,Kepler-1574,1.06,1.08,5892.0,0.08,Kepler-1574 b,0.115,762.0,6.9424334,0.104541,transit,1,2016.0
Kepler-1575,Kepler-1575,0.95,0.92,5667.0,-0.07,Kepler-1575 b,0.117,762.0,2.55314213,0.104541,transit,1,2016.0
Kepler-1576,Kepler-1576,1.05,1.06,5876.0,0.05,Kepler-1576 b,0.093,762.0,6.98471973,0.104541,transit,1,2016.0
Kepler-1577,Kepler-1577,0.78,0.74,4862.0,0.0,Kepler-1577 b,0.101,762.0,6.30560247,0.104541,transit,1,2016.0
Kepler-1578,Kepler-1578,0.9,0.86,5545.0,-0.13,Kepler-1578 b,0.093,762.0,1.45088691,0.104541,transit,1,2016.0
Kepler-1579,Kepler-1579,0.75,0.7,4584.0,0.11,Kepler-1579 b,0.075,762.0,0.84990789,0.104541,transit,1,2016.0
Kepler-158,Kepler-158,0.655,0.624,4623.0,0.0,Kepler-158 b,0.1932,762.0,16.709184,0.104541,transit,1,2014.0
Kepler-158,Kepler-158,0.655,0.624,4623.0,0.0,Kepler-158 c,0.17315,762.0,28.551383,0.104541,transit,1,2014.0
Kepler-1580,Kepler-1580,1.47,2.15,6228.0,0.12,Kepler-1580 b,0.188,762.0,56.6449279,0.104541,transit,1,2016.0
Kepler-1581,Kepler-1581,1.12,1.23,6022.0,0.07,Kepler-1581 b,0.071,762.0,6.28385491,0.104541,transit,1,2016.0
Kepler-1582,Kepler-1582,0.28,0.3,3208.0,0.48,Kepler-1582 b,0.133,762.0,4.83817712,0.104541,transit,1,2016.0
Kepler-1583,Kepler-1583,0.94,0.91,5645.0,-0.07,Kepler-1583 b,0.054,762.0,9.32807355,0.104541,transit,1,2016.0
Kepler-1584,Kepler-1584,1.1,1.13,6069.0,0.0,Kepler-1584 b,0.144,762.0,13.3997099,0.104541,transit,1,2016.0
Kepler-1585,Kepler-1585,0.94,0.91,5538.0,0.08,Kepler-1585 b,0.16,762.0,3.5827463,0.104541,transit,1,2016.0
Kepler-1586,Kepler-1586,1.45,1.75,6681.0,0.06,Kepler-1586 b,0.136,762.0,15.6049212,0.104541,transit,1,2016.0
Kepler-1587,Kepler-1587,1.08,1.22,5933.0,0.07,Kepler-1587 b,0.119,762.0,9.4060467,0.104541,transit,1,2016.0
Kepler-1588,Kepler-1588,0.96,0.99,5817.0,-0.14,Kepler-1588 b,0.068,762.0,7.84931739,0.104541,transit,1,2016.0
Kepler-1589,Kepler-1589,1.18,1.25,6166.0,0.08,Kepler-1589 b,0.097,762.0,0.99166527,0.104541,transit,1,2016.0
Kepler-159,Kepler-159,0.628,0.663,4625.0,0.0,Kepler-159 b,0.21689,762.0,10.139623,0.104541,transit,1,2014.0
Kepler-159,Kepler-159,0.628,0.663,4625.0,0.0,Kepler-159 c,0.31075,762.0,43.595792,0.104541,transit,1,2014.0
Kepler-1590,Kepler-1590,1.11,1.16,6053.0,0.03,Kepler-1590 b,0.102,762.0,7.61760804,0.104541,transit,1,2016.0
Kepler-1591,Kepler-1591,1.1,1.16,6082.0,0.01,Kepler-1591 b,0.113,762.0,8.18504949,0.104541,transit,1,2016.0
Kepler-1592,Kepler-1592,1.18,1.28,6213.0,0.04,Kepler-1592 b,0.137,762.0,3.05710069,0.104541,transit,1,2016.0
Kepler-1593,Kepler-1593,0.81,0.77,4995.0,0.02,Kepler-1593 b,0.283,762.0,174.509835,0.104541,transit,1,2016.0
Kepler-1594,Kepler-1594,1.06,1.08,5946.0,0.03,Kepler-1594 b,0.095,762.0,2.71603809,0.104541,transit,1,2016.0
Kepler-1595,Kepler-1595,0.84,0.8,5203.0,-0.02,Kepler-1595 b,0.11,762.0,4.56380468,0.104541,transit,1,2016.0
Kepler-1596,Kepler-1596,0.95,0.92,5706.0,-0.11,Kepler-1596 b,0.17,762.0,66.373379,0.104541,transit,1,2016.0
Kepler-1597,Kepler-1597,1.25,1.39,6377.0,0.02,Kepler-1597 b,0.095,762.0,2.94654179,0.104541,transit,1,2016.0
Kepler-1598,Kepler-1598,1.07,1.09,5940.0,0.04,Kepler-1598 b,0.085,762.0,4.34195123,0.104541,transit,1,2016.0
Kepler-1599,Kepler-1599,0.99,0.99,5767.0,0.02,Kepler-1599 b,0.145,762.0,122.363553,0.104541,transit,1,2016.0
Kepler-160,Kepler-160,0.954,1.12,5471.0,0.0,Kepler-160 b,0.153,762.0,4.309397,0.05511,transit,1,2014.0
Kepler-160,Kepler-160,0.954,1.12,5471.0,0.0,Kepler-160 c,0.335,762.0,13.699429,0.1192,transit,1,2014.0
Kepler-160,Kepler-160,0.954,1.12,5471.0,0.0,Kepler-160 d,0.203,762.0,30.0,0.17,timing,0,2020.0
Kepler-1600,Kepler-1600,0.86,0.82,5214.0,0.07,Kepler-1600 b,0.279,209.0,386.370548,0.9712,transit,1,2016.0
Kepler-1600,Kepler-1600,0.86,0.82,5214.0,0.07,Kepler-1600 c,0.173,786.0,7.29804993,0.0689,transit,1,2021.0
Kepler-1601,Kepler-1601,1.04,1.07,5869.0,0.05,Kepler-1601 b,0.073,762.0,2.20921951,0.104541,transit,1,2016.0
Kepler-1602,Kepler-1602,1.22,1.36,6296.0,0.02,Kepler-1602 b,0.12,762.0,11.17931605,0.104541,transit,1,2016.0
Kepler-1603,Kepler-1603,1.21,1.31,6241.0,0.07,Kepler-1603 b,0.115,762.0,2.27163926,0.104541,transit,1,2016.0
Kepler-1604,Kepler-1604,0.81,0.76,4976.0,0.02,Kepler-1604 b,0.126,762.0,0.68368426,0.104541,transit,1,2016.0
Kepler-1605,Kepler-1605,0.86,0.82,5280.0,-0.01,Kepler-1605 b,0.096,762.0,85.7565495,0.104541,transit,1,2016.0
Kepler-1606,Kepler-1606,0.9,0.86,5422.0,0.01,Kepler-1606 b,0.185,762.0,196.435224,0.104541,transit,1,2016.0
Kepler-1607,Kepler-1607,1.14,1.21,6116.0,0.05,Kepler-1607 b,0.082,762.0,13.6473676,0.104541,transit,1,2016.0
Kepler-1608,Kepler-1608,0.75,0.72,4992.0,-0.24,Kepler-1608 b,0.154,762.0,16.4735686,0.104541,transit,1,2016.0
Kepler-1609,Kepler-1609,1.18,1.27,6132.0,0.1,Kepler-1609 b,0.198,762.0,114.34219,0.104541,transit,1,2016.0
Kepler-161,Kepler-161,0.783,0.806,5078.0,0.0,Kepler-161 b,0.1932,762.0,4.921355,0.104541,transit,1,2014.0
Kepler-161,Kepler-161,0.783,0.806,5078.0,0.0,Kepler-161 c,0.18682,762.0,7.06424,0.104541,transit,1,2014.0
Kepler-1610,Kepler-1610,0.91,0.87,5383.0,0.1,Kepler-1610 b,0.144,762.0,8.70181574,0.104541,transit,1,2016.0
Kepler-1611,Kepler-1611,0.94,0.93,5605.0,0.01,Kepler-1611 b,0.072,762.0,5.1762429,0.104541,transit,1,2016.0
Kepler-1612,Kepler-1612,0.96,0.94,5643.0,0.03,Kepler-1612 b,0.092,762.0,3.91795101,0.104541,transit,1,2016.0
Kepler-1613,Kepler-1613,1.08,1.12,6005.0,0.01,Kepler-1613 b,0.186,762.0,1.5184299,0.104541,transit,1,2016.0
Kepler-1614,Kepler-1614,0.79,0.76,5121.0,-0.17,Kepler-1614 b,0.133,762.0,3.9466141,0.104541,transit,1,2016.0
Kepler-1615,Kepler-1615,1.04,1.05,5865.0,0.06,Kepler-1615 b,0.184,762.0,47.3126192,0.104541,transit,1,2016.0
Kepler-1616,Kepler-1616,1.21,1.34,6266.0,0.02,Kepler-1616 b,0.091,762.0,6.76284377,0.104541,transit,1,2016.0
Kepler-1617,Kepler-1617,1.15,1.22,6167.0,0.01,Kepler-1617 b,0.107,762.0,27.4785572,0.104541,transit,1,2016.0
Kepler-1618,Kepler-1618,1.41,1.65,6620.0,0.04,Kepler-1618 b,0.112,762.0,6.10826019,0.104541,transit,1,2016.0
Kepler-1619,Kepler-1619,1.0,1.0,5852.0,-0.07,Kepler-1619 b,0.068,762.0,23.6225913,0.104541,transit,1,2016.0
Kepler-162,Kepler-162,0.953,0.958,5816.0,0.0,Kepler-162 c,0.27612,762.0,19.446355,0.104541,transit,1,2014.0
Kepler-162,Kepler-162,0.953,0.958,5816.0,0.0,Kepler-162 b,0.11482,762.0,6.919798,0.104541,transit,1,2014.0
Kepler-1620,Kepler-1620,1.15,1.23,6157.0,0.03,Kepler-1620 b,0.144,762.0,101.951829,0.104541,transit,1,2016.0
Kepler-1621,Kepler-1621,1.15,1.24,6158.0,0.03,Kepler-1621 b,0.193,762.0,92.263714,0.104541,transit,1,2016.0
Kepler-1622,Kepler-1622,1.31,1.5,6436.0,0.04,Kepler-1622 b,0.131,762.0,10.8118737,0.104541,transit,1,2016.0
Kepler-1623,Kepler-1623,1.0,1.0,5772.0,0.04,Kepler-1623 b,0.117,762.0,4.36128348,0.104541,transit,1,2016.0
Kepler-1624,Kepler-1624,0.5,0.47,3636.0,0.06,Kepler-1624 b,0.509,762.0,3.29030452,0.104541,transit,1,2016.0
Kepler-1625,Kepler-1625,0.96,0.94,5677.0,0.01,Kepler-1625 b,0.541,762.0,287.378949,0.104541,transit,1,2016.0
Kepler-1626,Kepler-1626,1.51,1.85,6826.0,0.04,Kepler-1626 b,0.18,762.0,4.13962966,0.104541,transit,1,2016.0
Kepler-1627,Kepler-1627,0.87,0.84,5445.0,-0.1,Kepler-1627 b,0.329,762.0,7.20283653,0.104541,transit,1,2016.0
Kepler-1628,Kepler-1628,0.55,0.52,3724.0,0.17,Kepler-1628 b,0.574,762.0,76.378033,0.104541,transit,1,2016.0
Kepler-1629,Kepler-1629,1.01,1.01,5776.0,0.05,Kepler-1629 b,0.069,762.0,3.87595807,0.104541,transit,1,2016.0
Kepler-163,Kepler-163,0.96,0.917,5776.0,0.0,Kepler-163 c,0.20595,762.0,21.347262,0.104541,transit,1,2014.0
Kepler-163,Kepler-163,0.96,0.917,5776.0,0.0,Kepler-163 b,0.09569,762.0,7.810937,0.104541,transit,1,2014.0
Kepler-1630,Kepler-1630,0.66,0.63,4736.0,-0.46,Kepler-1630 b,0.195,762.0,509.997402,0.104541,transit,1,2016.0
Kepler-1631,Kepler-1631,0.97,0.95,5679.0,0.04,Kepler-1631 b,0.12,762.0,4.09513932,0.104541,transit,1,2016.0
Kepler-1632,Kepler-1632,1.12,1.19,6137.0,0.0,Kepler-1632 b,0.22,762.0,448.303558,0.104541,transit,1,2016.0
Kepler-1633,Kepler-1633,1.2,1.32,6256.0,0.02,Kepler-1633 b,0.141,762.0,186.404271,0.104541,transit,1,2016.0
Kepler-1634,Kepler-1634,0.92,0.89,5474.0,0.02,Kepler-1634 b,0.285,762.0,374.876239,0.104541,transit,1,2016.0
Kepler-1635,Kepler-1635,0.89,0.85,5347.0,0.06,Kepler-1635 b,0.325,762.0,469.63111,0.104541,transit,1,2016.0
Kepler-1636,Kepler-1636,1.01,1.02,5797.0,0.03,Kepler-1636 b,0.288,762.0,425.47785,0.104541,transit,1,2016.0
Kepler-1637,Kepler-1637,1.02,1.02,5789.0,0.07,Kepler-1637 b,0.079,762.0,6.10960324,0.104541,transit,1,2016.0
Kepler-1638,Kepler-1638,0.97,0.95,5710.0,-0.01,Kepler-1638 b,0.167,762.0,259.33683,0.104541,transit,1,2016.0
Kepler-1639,Kepler-1639,1.12,1.18,6150.0,-0.03,Kepler-1639 b,0.23,762.0,9.878482,0.104541,transit,1,2016.0
Kepler-164,Kepler-164,1.15,1.148,5888.0,0.0,Kepler-164 c,0.24879,762.0,10.945723,0.104541,transit,1,2014.0
Kepler-164,Kepler-164,1.15,1.148,5888.0,0.0,Kepler-164 d,0.22327,762.0,28.986769,0.104541,transit,1,2014.0
Kepler-164,Kepler-164,1.15,1.148,5888.0,0.0,Kepler-164 b,0.12849,762.0,5.03503,0.104541,transit,1,2014.0
Kepler-1640,Kepler-1640,1.27,1.43,6324.0,0.1,Kepler-1640 b,0.43,762.0,7.5844126,0.104541,transit,1,2016.0
Kepler-1641,Kepler-1641,1.12,1.19,6152.0,-0.02,Kepler-1641 b,0.277,762.0,19.672266,0.104541,transit,1,2016.0
Kepler-1641,Kepler-1641,1.12,1.19,6152.0,-0.02,Kepler-1641 c,0.263,762.0,32.657212,0.104541,transit,1,2016.0
Kepler-1642,Kepler-1642,0.88,0.84,5355.0,-0.01,Kepler-1642 b,0.285,762.0,12.2057513,0.104541,transit,1,2016.0
Kepler-1642,Kepler-1642,0.88,0.84,5355.0,-0.01,Kepler-1642 c,0.237,762.0,6.6513802,0.104541,transit,1,2016.0
Kepler-1643,Kepler-1643,0.92,0.88,5508.0,-0.01,Kepler-1643 b,0.205,762.0,5.34264507,0.104541,transit,1,2016.0
Kepler-1644,Kepler-1644,0.89,0.86,5499.0,-0.1,Kepler-1644 b,0.168,762.0,21.0907758,0.104541,transit,1,2016.0
Kepler-1645,Kepler-1645,1.02,1.02,5812.0,0.04,Kepler-1645 b,0.159,762.0,16.1779561,0.104541,transit,1,2016.0
Kepler-1646,Kepler-1646,0.24,0.26,3299.0,0.04,Kepler-1646 b,0.11,762.0,4.48558383,0.104541,transit,1,2016.0
Kepler-1649,Kepler-1649,0.2,0.23,3240.0,-0.15,Kepler-1649 c,0.095,234.0,19.53527,0.104541,transit,1,2020.0
Kepler-1649,Kepler-1649,0.2,0.23,3240.0,-0.15,Kepler-1649 b,0.091,307.0,8.689099,0.104541,transit,1,2017.0
Kepler-165,Kepler-165,0.79,0.77,5211.0,0.0,Kepler-165 b,0.21142,762.0,8.180848,0.104541,transit,1,2014.0
Kepler-165,Kepler-165,0.79,0.77,5211.0,0.0,Kepler-165 c,0.20322,762.0,15.31299,0.104541,transit,1,2014.0
